time,open,high,low,close
1713855600,2943.1,2944.75,2941.15,2941.6
1713855900,2941.65,2942.1,2938.15,2941
1713856200,2940.95,2942,2936.6,2937.55
1713856500,2937.8,2940.7,2936.8,2939.95
1713856800,2940.5,2942.85,2938.15,2941.2
1713857100,2942.05,2942.45,2938.65,2938.7
1713857400,2938.85,2938.95,2934,2936.85
1713857700,2936.8,2937.5,2931,2932.15
1713858000,2931.95,2935.9,2931.5,2935.25
1713858300,2935.1,2935.25,2927.5,2929.2
1713858600,2929.1,2931.2,2927.6,2928.35
1713858900,2929.05,2934.25,2928.55,2932.8
1713859200,2932.15,2934.35,2931.6,2933.5
1713859500,2933.15,2934,2932,2933.4
1713859800,2933.35,2936.95,2932.3,2932.6
1713860100,2932.5,2935,2930.95,2934.05
1713860400,2934.4,2935,2932,2933.85
1713860700,2934,2935.5,2933.15,2933.55
1713861000,2933.65,2939.6,2933.15,2939.5
1713861300,2939.6,2939.9,2934.45,2934.5
1713861600,2934.45,2938.8,2933.1,2938.2
1713861900,2938.15,2938.15,2937,2937.7
1713862200,2937.6,2937.8,2934.2,2935.4
1713862500,2935.15,2935.8,2932.35,2932.9
1713862800,2932.5,2935.2,2931,2932.8
1713863100,2932.85,2936.45,2931,2932.45
1713863400,2932.7,2933,2930.55,2930.7
1713863700,2930.85,2933.95,2930.8,2932.9
1713864000,2933,2933.8,2928,2928.65
1713864300,2929.75,2930,2926,2929.3
1713864600,2928.95,2929.5,2921,2921.95
1713864900,2921.65,2924,2920,2922.45
1713865200,2922.05,2922.55,2917.85,2918.3
1713865500,2918.05,2918.65,2913.05,2915.55
1713865800,2915.5,2920.05,2911.1,2914.95
1713866100,2915,2919.5,2914,2919.4
1713930300,2927,2936,2926,2928.25
1713930600,2927.25,2932.6,2925,2929.3
1713930900,2929.65,2930.35,2922,2922.4
1713931200,2922.85,2924.1,2919.5,2921.55
1713931500,2921,2921,2915,2919
1713931800,2919.15,2919.6,2916.05,2918
1713932100,2917.8,2922.15,2915,2921.1
1713932400,2921.95,2926.95,2921.2,2926.95
1713932700,2927.4,2929.5,2922.3,2925
1713933000,2925.05,2927.95,2922.2,2922.25
1713933300,2922.3,2923.25,2920,2921.5
1713933600,2921.55,2923.15,2919.05,2922.9
1713933900,2922.95,2926.9,2922.9,2926.1
1713934200,2926.15,2926.7,2925.65,2926.65
1713934500,2926.6,2930.8,2925.65,2929.5
1713934800,2930.1,2931,2928.9,2928.9
1713935100,2929,2931,2928,2930.8
1713935400,2930.95,2932.5,2930.6,2931.3
1713935700,2931.35,2931.9,2930,2931.55
1713936000,2930.6,2931.9,2930,2930.4
1713936300,2930.35,2934.7,2930.3,2931.8
1713936600,2932.3,2934.05,2931.45,2932.5
1713936900,2932.15,2936.35,2932.1,2935.2
1713937200,2935.25,2936.35,2934.95,2935.75
1713937500,2935.8,2936.2,2934,2934.05
1713937800,2934.15,2935.45,2933,2934.95
1713938100,2935.45,2936.35,2933.75,2934.35
1713938400,2934.1,2935.3,2933,2933.4
1713938700,2933.55,2933.9,2930.7,2931.7
1713939000,2931.65,2932.65,2931.25,2931.35
1713939300,2930,2931.45,2927.55,2928.05
1713939600,2928,2930,2923.65,2925.05
1713939900,2925.3,2929.8,2924.95,2928.85
1713940200,2928.7,2928.85,2926.55,2926.6
1713940500,2927.1,2927.5,2925,2927.45
1713940800,2927.2,2927.5,2924.7,2925
1713941100,2924.95,2926.55,2924.95,2925.65
1713941400,2925.6,2927.55,2925,2925.65
1713941700,2925.25,2925.65,2924,2924.25
1713942000,2924.2,2924.5,2921.8,2923.45
1713942300,2923.35,2924.95,2921.6,2923
1713942600,2922.7,2923,2921,2921.95
1713942900,2921.8,2921.95,2920,2921
1713943200,2920.95,2921,2920,2920.2
1713943500,2920.15,2922,2919.4,2920.35
1713943800,2920.15,2923.65,2920.1,2922.8
1713944100,2922.65,2924,2921,2921.45
1713944400,2921.2,2922.9,2920,2922.35
1713944700,2922.3,2924.1,2921.05,2924.1
1713945000,2924.05,2925,2923.05,2923.25
1713945300,2922.4,2923.55,2921.35,2921.4
1713945600,2921.3,2922.2,2920.7,2921.3
1713945900,2921.2,2923,2921.05,2923
1713946200,2922.35,2923,2921,2922.2
1713946500,2922.25,2923.25,2921.35,2922.45
1713946800,2922.55,2923.1,2920,2921.25
1713947100,2921.15,2923,2918.8,2919.05
1713947400,2918.8,2920.2,2917.1,2919.45
1713947700,2918.9,2920,2917,2918
1713948000,2917.95,2920,2917.5,2917.5
1713948300,2917.55,2917.55,2912.25,2913
1713948600,2912.9,2913,2909.9,2911
1713948900,2910.95,2911.55,2907.5,2908.65
1713949200,2908,2909.3,2900,2904.6
1713949500,2904,2905.55,2900,2901
1713949800,2900.65,2902,2899.6,2901.9
1713950100,2901.95,2905.5,2901,2904.85
1713950400,2904.8,2905.5,2901.9,2904.35
1713950700,2904.65,2904.8,2900.2,2903
1713951000,2903.05,2903.05,2899,2900.2
1713951300,2899.9,2900.15,2899,2900
1713951600,2899.85,2902,2899.35,2900.95
1713951900,2900.85,2901.8,2899.35,2901.8
1713952200,2901.95,2902.15,2900.4,2901.55
1713952500,2901.5,2901.55,2899.95,2901.45
1714016700,2885,2900,2884,2892
1714017000,2892.45,2892.45,2886.5,2887.5
1714017300,2887,2890,2885.1,2885.4
1714017600,2885.6,2895.95,2885.6,2895.3
1714017900,2894.75,2904.05,2893.95,2903.35
1714018200,2904,2906.95,2897.6,2906.25
1714018500,2906.35,2906.5,2902.05,2904.35
1714018800,2903.9,2909,2903.9,2909
1714019100,2908.9,2913.6,2908.25,2912.85
1714019400,2912.8,2914.5,2910.8,2914.5
1714019700,2914.6,2918,2910,2913.85
1714020000,2913.55,2922,2910.3,2921
1714020300,2920.85,2922.4,2916.4,2918.3
1714020600,2919,2920,2915.6,2917.9
1714020900,2916.65,2918.55,2911.2,2914.85
1714021200,2914.95,2918.8,2913.45,2916.45
1714021500,2915.45,2920.05,2914.5,2919
1714021800,2918.7,2921,2914.6,2914.8
1714022100,2915,2915,2906.65,2908.85
1714022400,2907.1,2909.95,2898.25,2901.25
1714022700,2901.95,2902.45,2895.65,2901.85
1714023000,2901.15,2904.25,2900,2903.45
1714023300,2903.05,2914.95,2902.1,2912.95
1714023600,2912.75,2914.05,2908,2913.05
1714023900,2912.8,2913.3,2910.05,2913.3
1714024200,2913.25,2913.3,2903.8,2908.2
1714024500,2908,2911.4,2907,2910.05
1714024800,2910.95,2911,2907.1,2908.85
1714025100,2908.55,2911,2908,2910
1714025400,2910.05,2911.35,2908.3,2909.65
1714025700,2909,2910.5,2908.15,2908.95
1714026000,2909.2,2909.9,2905.7,2908
1714026300,2908.25,2909.95,2907.05,2908.6
1714026600,2909.45,2910,2906.9,2907.9
1714026900,2908.4,2910,2903.65,2904.85
1714027200,2904.45,2906.3,2901.1,2901.55
1714027500,2902,2908.5,2901,2907.85
1714027800,2907.5,2907.85,2902.55,2903.5
1714028100,2903.75,2909.55,2900.55,2905.9
1714028400,2906.95,2908.85,2904.5,2905.7
1714028700,2905.35,2908,2904.75,2907
1714029000,2906.1,2908.3,2905.75,2907.85
1714029300,2908,2908.9,2905.75,2905.95
1714029600,2906.15,2910.55,2906.15,2908.25
1714029900,2908,2910.05,2904.55,2904.7
1714030200,2904.55,2915.9,2904.35,2915
1714030500,2915.6,2916.25,2911,2914.25
1714030800,2914.45,2914.9,2912,2913.6
1714031100,2913.75,2918.1,2913.6,2917.4
1714031400,2917.15,2919.5,2914,2914.3
1714031700,2914.1,2917.4,2913.65,2915.3
1714032000,2915.35,2916.45,2908,2911.75
1714032300,2911.65,2915.65,2910.15,2912.6
1714032600,2913,2916,2912,2916
1714032900,2915.8,2920.95,2914.85,2920.75
1714033200,2920.85,2921.9,2916.7,2916.8
1714033500,2917.05,2917.45,2913.1,2913.5
1714033800,2914,2921.85,2912.6,2921.85
1714034100,2921.9,2932.55,2920.45,2928.95
1714034400,2928.8,2933.35,2924.25,2926.55
1714034700,2926.35,2928.9,2925.05,2926.25
1714035000,2926.6,2932.5,2926.1,2930.85
1714035300,2930.2,2930.85,2925,2925.5
1714035600,2926.05,2935.95,2922.8,2935
1714035900,2935.85,2935.9,2928.15,2929
1714036200,2928.8,2932,2926.1,2931.8
1714036500,2932.45,2934.35,2927.35,2931
1714036800,2930.25,2932.8,2927,2929.1
1714037100,2930,2932.75,2926.3,2930.45
1714037400,2930.6,2931.4,2926.1,2926.1
